,num_accelerators,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime,mean_runtime,clm_lower,clm_upper
0,10.0,1.9888389110565186,1.9888389110565186,1.9888389110565186,1.9888389110565186,1.9888389110565186,1.9888389110565186,,
1,20.0,4.542496919631958,4.542496919631958,4.542496919631958,4.542496919631958,4.542496919631958,4.542496919631958,,
2,30.0,10.357732772827148,10.357732772827148,10.357732772827148,10.357732772827148,10.357732772827148,10.357732772827148,,
3,40.0,12.056721925735474,12.056721925735474,12.056721925735474,12.056721925735474,12.056721925735474,12.056721925735474,,
4,50.0,26.932351112365723,26.932351112365723,26.932351112365723,26.932351112365723,26.932351112365723,26.932351112365723,,
5,60.0,30.081334114074707,30.081334114074707,30.081334114074707,30.081334114074707,30.081334114074707,30.081334114074707,,
6,70.0,52.521416902542114,52.521416902542114,52.521416902542114,52.521416902542114,52.521416902542114,52.521416902542114,,
7,80.0,55.22464680671692,55.22464680671692,55.22464680671692,55.22464680671692,55.22464680671692,55.22464680671692,,
8,90.0,54.30400204658508,54.30400204658508,54.30400204658508,54.30400204658508,54.30400204658508,54.30400204658508,,
9,100.0,82.0258469581604,82.0258469581604,82.0258469581604,82.0258469581604,82.0258469581604,82.0258469581604,,
