,query_types,median_runtime,min_runtime,max_runtime,25th_pct_runtime,75th_pct_runtime,mean_runtime,clm_lower,clm_upper
0,1.0,0.00803232192993164,0.0070400238037109375,0.021396160125732422,0.007911920547485352,0.008962273597717285,0.00917503833770752,0.007738310290120675,0.010611766385294364
1,2.0,0.1287316083908081,0.11317992210388184,1.6917738914489746,0.12373870611190796,0.18254661560058594,0.3000020027160645,0.10983262453925846,0.4901713808928705
2,3.0,0.9198634624481201,0.4309568405151367,1.3106780052185059,0.7742346525192261,0.9563499689102173,0.837461507320404,0.7279774457177963,0.9469455689230117
3,4.0,0.8442889451980591,0.7508838176727295,1.0376040935516357,0.8008615970611572,0.917762041091919,0.8644185543060303,0.8248637718652915,0.9039733367467692
4,5.0,1.3865121603012085,1.1937792301177979,1.9522778987884521,1.357820212841034,1.4671680331230164,1.4277344703674317,1.3475302641184397,1.5079386766164238
5,6.0,2.5909557342529297,1.9344398975372314,3.0420610904693604,2.365260422229767,2.7374555468559265,2.5605317831039427,2.424199307041463,2.6968642591664223
6,7.0,3.351530909538269,2.748997926712036,3.9070751667022705,2.965222954750061,3.518842101097107,3.3021077632904055,3.136653771038711,3.4675617555421
7,8.0,5.670918107032776,4.171164035797119,6.780832052230835,5.170450866222382,6.02511340379715,5.604005706310272,5.281183393452622,5.926828019167923
8,9.0,9.534831523895264,7.41304087638855,11.455230236053467,8.859484314918518,10.255229413509369,9.51677759885788,8.998769086295807,10.034786111419953
9,10.0,15.31005609035492,12.090817928314209,17.518102169036865,14.763479053974152,15.822643041610718,15.061931896209718,14.38152427375918,15.742339518660255
10,11.0,17.21369206905365,11.830044746398926,19.82008981704712,15.355910122394562,17.957248628139496,16.712796998023986,15.797361919033598,17.628232077014374
11,12.0,25.53389811515808,16.794195890426636,28.993483066558838,23.643883109092712,26.886056184768677,25.150524270534515,23.830629519690824,26.470419021378206
12,13.0,23.48415732383728,19.168611764907837,32.088369846343994,21.600869715213776,24.54615294933319,23.398048961162566,22.12302685817243,24.6730710641527
13,14.0,25.39065730571747,19.935364246368408,33.537989139556885,24.33627998828888,28.185527443885803,25.900515723228455,24.28107526897931,27.5199561774776
14,15.0,35.82908022403717,28.233190059661865,45.15763783454895,33.97887498140335,38.8079736828804,36.729653251171115,34.66496323542117,38.79434326692106
15,16.0,45.21425533294678,39.45723009109497,52.766807079315186,43.47094190120697,48.26055961847305,45.9170107960701,44.24187039257357,47.592151199566636
16,17.0,59.130396008491516,52.101184129714966,74.92782998085022,56.964998841285706,62.8648567199707,60.55967689752579,57.99305774331041,63.12629605174117
